imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
200;0.307702;0.692298;
400;0.300802;0.699198;
600;0.305564;0.694436;
800;0.310501;0.689499;
1000;0.299594;0.700406;
1200;0.31106;0.68894;
1400;0.307931;0.692069;
1600;0.304232;0.695768;
1800;0.296776;0.703224;
2000;0.289984;0.710016;
2200;0.307102;0.692898;
2400;0.286665;0.713335;
2600;0.290387;0.709613;
2800;0.287226;0.712774;
3000;0.286494;0.713506;
3200;0.292716;0.707284;
3400;0.285653;0.714347;
3600;0.299678;0.700322;
3800;0.2933;0.7067;
4000;0.28615;0.71385;
4200;0.29707;0.70293;
4400;0.281731;0.718269;
4600;0.295078;0.704922;
4800;0.310096;0.689904;
5000;0.305124;0.694876;