gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.547527;987.027;987.307;
0.05;117.576;933.692;933.981;
0.1;209.236;888.025;888.384;
0.15;340.909;845.369;845.622;
0.2;421.405;795.901;796.207;
0.25;568.816;751.508;751.82;
0.3;625.232;716.651;716.994;
0.35;773.213;670.953;773.451;
0.4;869.743;618.14;870.021;
0.45;977.666;572.425;977.927;
0.5;1137.7;518.647;1138.11;
0.55;1159.27;482.372;1159.69;
0.6;1203.09;412.691;1203.31;
0.65;1358.32;366.94;1358.55;
0.7;1474.31;312.828;1474.56;
0.75;1614.48;263.766;1614.79;
0.8;1722.55;211.367;1722.86;
0.85;1810.78;159.84;1811.01;
0.9;1737.27;110.175;1737.58;
0.95;1794.48;54.7789;1794.7;
1;1912.02;0.90461;1912.25;